ident,type,name,latitude_deg,longitude_deg,iata_code
ID-0404,small_airport,Tsinga Airstrip,-4.20282,137.230391,
ID-0405,small_airport,Mugi Airstrip,-4.242607,138.331831,
ID-0406,small_airport,Teraplu Airport,-3.991445,140.445024,
ID-0407,small_airport,Kapiraya Airstrip,-4.411759,135.998729,
ID-0408,small_airport,Kilmit Airstrip,-4.309575,138.122154,
ID-AAS,small_airport,Apalapsili Airport,-3.882495,139.310932,AAS
ID-AGD,small_airport,Anggi Airport,-1.3858,133.8737,AGD
ID-AHI,small_airport,Mina Wanam Airport,-7.540726,139.110916,
ID-AKQ,small_airport,Astra Ksetra Airport,-4.611588,105.231968,AKQ
ID-BJG,small_airport,Boalang Airport,-0.972896,122.144997,
ID-ELR,small_airport,Elelim Airport,-3.785922,139.384497,ELR
ID-EWE,small_airport,Ewer Asmat Airport,-5.496185,138.078361,EWE
ID-GAV,small_airport,Gag Island Airport,-0.400556,129.895004,GAV
ID-IUL,small_airport,Ilu Airport,-3.7051,138.2002,IUL
ID-KOD,small_airport,Kotabangun Airport,-0.266669988632,116.583335876,KOD
ID-KRC,small_airport,Departi Parbo Airport,-2.094042,101.47025,KRC
ID-LLN,small_airport,Kelila Airport,-3.728968,138.710117,LLN
ID-MSI,small_airport,Masalembo Airport,-5.583330154418945,114.43299865722656,MSI
ID-NAF,small_airport,Banaina Airport,2.72305011749,117.125999451,NAF
ID-OBD,small_airport,Obano Airport,-3.9106,136.2306,OBD
ID-PPJ,small_airport,Unknown Airport,-0.63333,103.300003,
ID-PUM,small_airport,Pomala Airport,-4.181013,121.614665,
ID-RKI,small_airport,Mentawai Airport,-2.094167,99.699167,RKI
ID-TMY,small_airport,Tiom Airport,-3.9256,138.4555,TMY
ID-ZGP,medium_airport,Bilorai Airport,-3.739503,137.031183,UGU
JIO,small_airport,Jos Orno Imsula Airport,-8.140683,127.909669,JIO
KJX,small_airport,Kuala Batu Airport,3.735749,96.790109,KJX
KMM,small_airport,Kimaam Airport,-7.97789,138.851776,KMM
MOH,small_airport,Maleo Airport,-2.201143,121.662884,MOH
NKD,small_airport,Sinak Airport,-3.822249,137.839208,NKD
WA1B,small_airport,Aru Airport,-6.57342004776001,134.14700317382812,
WA44,small_airport,Maranggo Airport,-5.766423,123.918668,TQQ
WAAA,large_airport,Sultan Hasanuddin International Airport,-5.075539,119.553702,UPG
WAAG,small_airport,Malimpung Airport,-3.7382,119.7502,
WAAT,small_airport,Makale Airport,-3.10935997963,119.856002808,
WABB,medium_airport,Frans Kaisiepo Airport,-1.19002,136.108002,BIK
WABC,small_airport,Akimuga Airstrip,-4.6043,137.6576,
WABD,small_airport,Moanamani Airport,-4.00659,136.037704,ONI
WABF,small_airport,Kornasoren Airport,-0.935745,134.872292,FOO
WABG,small_airport,Deiyai / Waghete Baru Airport,-4.05916,136.281715,WET
WABI,medium_airport,Douw Aturure Airport,-3.397973,135.393071,NBX
WABK,small_airport,Karubaga Airport,-3.684615,138.479018,KBF
WABL,small_airport,Ilaga Airport,-3.97648,137.6225,ILA
WABN,small_airport,Kokonao Airport,-4.71075,136.43515,KOX
WABO,medium_airport,Stevanus Rumbewas Airport,-1.82842,136.062402,ZRI
WABP,medium_airport,Mozes Kilangin Airport,-4.52978,136.887388,TIM
WABT,small_airport,Enarotali Airport,-3.925739,136.378634,EWI
WABW,small_airport,Waren Airport,-1.6285300254822,134.12399291992,
WABY,small_airport,Kebo Airstrip,-3.8248,136.385844,
WADB,medium_airport,Sultan Muhammad Salahuddin Airport,-8.537184,118.685002,BMU
WADD,large_airport,Denpasar I Gusti Ngurah Rai International Airport,-8.748409,115.167123,DPS
WADE,small_airport,Lieutenant Colonel Wisnu Airfield,-8.139292,114.615367,
WADL,large_airport,Lombok International Airport,-8.759962,116.278169,LOP
WADS,small_airport,Sultan Muhammad Kaharuddin III Airport,-8.48904,117.412003,SWQ
WADT,small_airport,Tambolaka Airport,-9.409224,119.242558,TMC
WADU,small_airport,Lunyuk Airport,-8.989931,117.216018,LYK
WADW,small_airport,Umbu Mehang Kunda Airport,-9.66922,120.302002,WGP
WADY,small_airport,Banyuwangi Airport,-8.31015,114.3401,BWX
WAEA,small_airport,Mahak Baru Airport,1.405984,115.332459,
WAEE,medium_airport,Sultan Babullah Airport,0.831012,127.381611,TTE
WAEF,small_airport,Lebone Airstrip,-1.333333,121.633333,
WAES,small_airport,Emalamo Airport,-2.100424,125.965838,SQN
WAEW,medium_airport,Pitu Airport,2.04599,128.324997,OTI
WAFB,medium_airport,Toraja Airport,-3.185833,119.91775,TRT
WAFD,small_airport,Bua - Palopo Lagaligo Airport,-3.08227,120.244823,LLO
WAFF,medium_airport,Mutiara - SIS Al-Jufrie Airport,-0.916462,119.908647,PLW
WAFJ,small_airport,Tampa Padang Airport,-2.590017,119.025051,MJU
