destination,restaurant_name,rating,review_count,price_level,category,restaurant_url,latitude,longitude
wakatobi,Nua Indah Coffee and Resto,,,,,https://www.google.com/maps/place/Nua+Indah+Coffee+and+Resto/data=!4m7!3m6!1s0x2da135694185f1f5:0x8bfb38493a4bfdc8!8m2!3d-5.2821048!4d123.5238133!16s%2Fg%2F11t7f6tkzs!19sChIJ9fGFQWk1oS0RyP1LOkk4-4s?authuser=0&hl=id&rclk=1,-5.3156704,123.5850437
wakatobi,Rendezvous coffee wakatobi,,,,,https://www.google.com/maps/place/Rendezvous+coffee+wakatobi/data=!4m7!3m6!1s0x2da1336fa2ab9da3:0xeb84875bfb5acf24!8m2!3d-5.3199338!4d123.5311372!16s%2Fg%2F11t4dx_dqw!19sChIJo52rom8zoS0RJM9a-1uHhOs?authuser=0&hl=id&rclk=1,-5.3156704,123.5850437
wakatobi,Dapoer Maritim Cafe & Resto,,,,,https://www.google.com/maps/place/Dapoer+Maritim+Cafe+%26+Resto/data=!4m7!3m6!1s0x2da1339171597a89:0xd8facac4af36c4ce!8m2!3d-5.324142!4d123.5342733!16s%2Fg%2F11vl4ks3mq!19sChIJiXpZcZEzoS0RzsQ2r8TK-tg?authuser=0&hl=id&rclk=1,-5.3156704,123.5850437
wakatobi,Wasabinua Hotel & Dive Resort,,,,,https://www.google.com/maps/place/Wasabinua+Hotel+%26+Dive+Resort/data=!4m10!3m9!1s0x2da136ae2af0bd2d:0xd2e98108ec835682!5m2!4m1!1i2!8m2!3d-5.2818363!4d123.5244352!16s%2Fg%2F11cmdf0h6m!19sChIJLb3wKq42oS0RglaD7AiB6dI?authuser=0&hl=id&rclk=1,-5.3156704,123.5850437
wakatobi,Warung Makan D'Bantea,,,,,https://www.google.com/maps/place/Warung+Makan+D%27Bantea/data=!4m7!3m6!1s0x2da1335b4d5e6cbf:0xeff866a038bc5f20!8m2!3d-5.3349534!4d123.5391265!16s%2Fg%2F11f32dwfwm!19sChIJv2xeTVszoS0RIF-8OKBm-O8?authuser=0&hl=id&rclk=1,-5.3156704,123.5850437
wakatobi,RM REZA PASEBA,,,,,https://www.google.com/maps/place/RM+REZA+PASEBA/data=!4m7!3m6!1s0x2da6d9592ec005d5:0x61923df97b01c2d0!8m2!3d-5.4986353!4d123.7536673!16s%2Fg%2F11rp053fbn!19sChIJ1QXALlnZpi0R0MIBe_k9kmE?authuser=0&hl=id&rclk=1,-5.3156704,123.5850437
wakatobi,RM. LALESA KALEDUPA,,,,,https://www.google.com/maps/place/RM.+LALESA+KALEDUPA/data=!4m7!3m6!1s0x2da6d91e936448c1:0x7b29047aba06d304!8m2!3d-5.4962416!4d123.7544183!16s%2Fg%2F11vkttfz80!19sChIJwUhkkx7Zpi0RBNMGunoEKXs?authuser=0&hl=id&rclk=1,-5.3156704,123.5850437
wakatobi,Warung Makan Mas Dhika Onemay,,,,,https://www.google.com/maps/place/Warung+Makan+Mas+Dhika+Onemay/data=!4m7!3m6!1s0x2da71b61d53300db:0x4aeeae1814459e18!8m2!3d-5.7200258!4d123.9042178!16s%2Fg%2F11h0ynfl4b!19sChIJ2wAz1WEbpy0RGJ5FFBiu7ko?authuser=0&hl=id&rclk=1,-5.3156704,123.5850437
bromo,Bromo Escapes,,,,,https://www.google.com/maps/place/Bromo+Escapes/data=!4m7!3m6!1s0x2dd649f4aefd2215:0x2bd924f21b9eef39!8m2!3d-7.9122234!4d113.036187!16s%2Fg%2F11t_s3m28v!19sChIJFSL9rvRJ1i0ROe-eG_Ik2Ss?authuser=0&hl=id&rclk=1,-7.9037251,112.9521356
bromo,Teras Bromo,,,,,https://www.google.com/maps/place/Teras+Bromo/data=!4m7!3m6!1s0x2dd633e57e085991:0x7b48e8d6f93323a!8m2!3d-7.8961844!4d112.8912837!16s%2Fg%2F11c6t6m3tx!19sChIJkVkIfuUz1i0ROjKTb42OtAc?authuser=0&hl=id&rclk=1,-7.9037251,112.9521356
