Wilayah,Nama_Pelabuhan,Latitude,Longitude
Sulawesi Utara,Marampit,4.7303266,127.1227049
Sulawesi Utara,Musi,3.9480158,126.6822619
Sulawesi Utara,Gangga,1.7726882,125.0516359
Sulawesi Utara,Lihaga,1.7607234,125.0363149
Sulawesi Utara,Kalama,3.2320948,125.4528008
Sulawesi Utara,Para,3.0683916,125.4990405
Sulawesi Utara,Ngalipaeng,3.3864761,125.6208567
Sulawesi Utara,Bualo,1.616485,124.6934679
Sulawesi Utara,Negri,1.6214923,124.7108672
Sulawesi Utara,Pangalingan,1.6490328,124.7092939
Sulawesi Utara,Siladen,1.6271452,124.8012191
Sulawesi Utara,Pelabuhan Rakyat Likupang,1.6749845,125.0607182
Sulawesi Utara,Gangga Satu,1.771055,125.0516576
Sulawesi Utara,Likupang (Munte),1.6944075,125.0137608
Papua Barat Daya,Pelabuhan Lenmalas,-1.6950285,130.2956327
Papua Barat Daya,Waisai,-0.4325286,130.8027935
Papua Barat Daya,Pelabuhan Pam,-0.6691054,130.2971049
Papua Barat Daya,Pelabuhan Waigama,-1.8264464,129.8459966
Papua Barat Daya,Pelabuhan Tanpa Nama,-0.647624,130.3141732
Papua Barat Daya,Pelabuhan Arefi,-0.790113,130.702857
Papua Barat Daya,Pelabuhan Gag,-0.4403216,129.9047371
Papua Barat Daya,Pelabuhan Wejim,-1.4635026,130.2649169
Papua Barat Daya,Usaha Mina (Sorong),-0.877416,131.2512788
Papua Barat Daya,Arar,-1.0232106,131.2421136
Papua Barat Daya,Waisai,-0.4104879,130.8803206
Papua Barat Daya,Pelabuhan Penyeberangan Klademak (Sorong),-0.8912401,131.2684226
Papua Barat Daya,Pelabuhan Kofiau,-1.1499133,129.8509819
Papua Barat Daya,Folley,-1.7625118,130.4007283
Papua Barat Daya,Pelabuhan Yellu,-2.0569078,130.4140333
Papua Barat Daya,Pelabuhan Fafanlap,-1.9920288,130.3395912
Papua Barat Daya,Pelabuhan Tanpa Nama,-1.7708715,130.4123941
Papua Barat Daya,Pelabuhan Sorong,-0.8781597,131.2461636
Papua Barat Daya,Pelabuhan Selpele,-0.204262,130.2227981
Papua Barat Daya,Pelabuhan Kalobo,-1.0618766,131.0768086
Papua Barat Daya,Pelabuhan Dulbatan,-1.2317887,130.7442975
Papua Barat Daya,Saonek,-0.4654865,130.7830234
