DPP,IATA_Tujuan,Kota_Asal,Maskapai,Status
Mandalika,LOP,Jakarta,Batik Air,Scheduled
Mandalika,LOP,Labuan Bajo,Wings Air,Scheduled
Mandalika,LOP,Bima,Wings Air,Scheduled
Mandalika,LOP,Sumbawa Besar,Wings Air,Scheduled
Mandalika,LOP,Bima,Wings Air,Scheduled
Mandalika,LOP,Balikpapan,Super Air Jet,Scheduled
Mandalika,LOP,Jakarta,Super Air Jet,Scheduled
Mandalika,LOP,Denpasar,TransNusa,Scheduled
Mandalika,LOP,Jakarta,Citilink,Scheduled
Mandalika,LOP,Denpasar,Wings Air,Scheduled
Mandalika,LOP,Jakarta,TransNusa,Scheduled
Mandalika,LOP,Denpasar,TransNusa,Scheduled
Mandalika,LOP,Surabaya,Super Air Jet,Scheduled
Mandalika,LOP,Jakarta,Super Air Jet,Scheduled
Mandalika,LOP,Yogyakarta,Super Air Jet,Scheduled
Labuan Bajo,LBJ,Bajawa,Wings Air,Scheduled
Labuan Bajo,LBJ,Denpasar,AirAsia,Scheduled
Labuan Bajo,LBJ,Jakarta,AirAsia,Estimated 15:21
Labuan Bajo,LBJ,Lombok,Wings Air,Scheduled
Labuan Bajo,LBJ,Surabaya,Super Air Jet,Scheduled
Labuan Bajo,LBJ,Denpasar,Batik Air,Scheduled
Labuan Bajo,LBJ,Denpasar,AirAsia (Sustainable ASEAN Tourism Livery),Scheduled
Labuan Bajo,LBJ,Kupang,Wings Air,Scheduled
Labuan Bajo,LBJ,Denpasar,Batik Air,Scheduled
Labuan Bajo,LBJ,Ende,Wings Air,Scheduled
Labuan Bajo,LBJ,Denpasar,Batik Air,Scheduled
Labuan Bajo,LBJ,Lombok,Wings Air,Scheduled
Labuan Bajo,LBJ,Ende,Wings Air,Scheduled
Labuan Bajo,LBJ,Denpasar,AirAsia (Colours of Indonesia Livery),Scheduled
Labuan Bajo,LBJ,Jakarta,Citilink,Scheduled
Labuan Bajo,LBJ,Denpasar,Batik Air,Scheduled
Labuan Bajo,LBJ,Jakarta,Batik Air,Scheduled
Labuan Bajo,LBJ,Bajawa,Wings Air,Scheduled
Labuan Bajo,LBJ,Kuala Lumpur,AirAsia,Scheduled
Labuan Bajo,LBJ,Denpasar,Batik Air,Scheduled
Labuan Bajo,LBJ,Jakarta,AirAsia,Scheduled
Labuan Bajo,LBJ,Lombok,Wings Air,Scheduled
Labuan Bajo,LBJ,Jakarta,Garuda Indonesia,Scheduled
Labuan Bajo,LBJ,Surabaya,Super Air Jet,Scheduled
Labuan Bajo,LBJ,Denpasar,Indonesia AirAsia,Scheduled
Labuan Bajo,LBJ,Singapore,Scoot,Scheduled
Labuan Bajo,LBJ,Denpasar,Batik Air,Scheduled
